Výsledky přijímacího řízení do prim osmiletého studia,,,,,,,,
"Gymnázium, Praha 5, Nad Kavalírkou 1",,,,,,,,
"18.4.2017, 20.4.2017",,,,,,,,
"Výsledky přijímacích zkoušek pro školní rok 2017/2018, které jsou zveřejněné na",,,,,,,,
"webových stránkách školy, korespondují s oficiálními výsledky ve vývěsce",,,,,,,,
"Gymnázia, Praha 5, Nad Kavalírkou 1.",,,,,,,,
P ř i j a t í u ch a z e č i,,,,,,,,
Zveřejněno 3.5.2017,,,,,,,,
Pořadí-,,,,,,,,
dle,,,,,,Body-,Body-,
,,Body-,Body-,Body-,Body-,český,matema-,Body-
kritérií,,ZŠ,všeob.,stud.,v+s,jazyk,tika,celkem
GNK,Kód,max 2,přehl.,předp.,max 48,max 50,max 50,max 150
1.,25671,2,"19,00","23,00","42,00",49,42,"135,000"
2.,18045,2,"21,00","24,00","45,00",46,39,"132,000"
3.,10911,2,"19,00","23,00","42,00",44,44,"132,000"
4.,59373,2,"14,00","23,00","37,00",48,42,"129,000"
5.,56913,2,"16,00","22,00","38,00",46,42,"128,000"
5.,52731,2,"19,00","22,00","41,00",41,44,"128,000"
7.,60111,2,"17,00","21,00","38,00",47,41,"128,000"
8.,66999,"1,901","19,00","21,00","40,00",44,42,"127,901"
9.,46827,2,"18,00","21,00","39,00",41,45,"127,000"
10.,96027,2,"15,00","19,00","34,00",45,46,"127,000"
11.,59619,2,"18,00","20,00","38,00",42,44,"126,000"
12.,69705,"1,901","20,00","18,00","38,00",44,42,"125,901"
13.,74871,2,"12,00","24,00","36,00",45,42,"125,000"
14.,78561,2,"14,00","19,00","33,00",47,43,"125,000"
15.,27393,"1,769","15,00","23,00","38,00",37,48,"124,769"
16.,18537,2,"18,00","24,00","42,00",43,37,"124,000"
17.,32559,2,"20,00","22,00","42,00",40,40,"124,000"
18.,81021,2,"16,00","22,00","38,00",35,48,"123,000"
19.,44859,2,"14,00","21,00","35,00",41,45,"123,000"

Výsledky přijímacího řízení do prim osmiletého studia,,,,,,,,
"Gymnázium, Praha 5, Nad Kavalírkou 1",,,,,,,,
"18.4.2017, 20.4.2017",,,,,,,,
"Výsledky přijímacích zkoušek pro školní rok 2017/2018, které jsou zveřejněné na",,,,,,,,
"webových stránkách školy, korespondují s oficiálními výsledky ve vývěsce",,,,,,,,
"Gymnázia, Praha 5, Nad Kavalírkou 1.",,,,,,,,
P ř i j a t í u ch a z e č i,,,,,,,,
Zveřejněno 3.5.2017,,,,,,,,
Pořadí-,,,,,,,,
dle,,,,,,Body-,Body-,
,,Body-,Body-,Body-,Body-,český,matema-,Body-
kritérií,,ZŠ,všeob.,stud.,v+s,jazyk,tika,celkem
GNK,Kód,max 2,přehl.,předp.,max 48,max 50,max 50,max 150
20.,18291,2,"13,00","22,00","35,00",44,41,"122,000"
21.,97749,2,"13,00","21,00","34,00",43,43,"122,000"
22.,79053,2,"13,00","20,00","33,00",45,42,"122,000"
23.,39447,2,"14,00","19,00","33,00",47,40,"122,000"
24.,62079,2,"19,00","17,00","36,00",44,40,"122,000"
25.,15585,2,"12,00","20,00","32,00",45,42,"121,000"
26.,34035,2,"20,00","19,00","39,00",44,36,"121,000"
26.,50271,2,"14,00","19,00","33,00",39,47,"121,000"
28.,21489,2,"14,00","20,00","34,00",43,41,"120,000"
29.,68229,2,"16,00","18,00","34,00",44,40,"120,000"
30.,47319,2,"14,00","24,00","38,00",35,44,"119,000"
31.,29115,2,"15,00","23,00","38,00",43,35,"118,000"
32.,36495,2,"12,00","21,00","33,00",41,42,"118,000"
32.,65523,2,"12,00","21,00","33,00",42,41,"118,000"
34.,91353,2,"16,00","20,00","36,00",36,44,"118,000"
35.,62325,2,"15,00","18,00","33,00",39,44,"118,000"
36.,13371,2,"19,00","23,00","42,00",43,30,"117,000"
37.,23949,2,"17,00","21,00","38,00",41,36,"117,000"
38.,62817,2,"11,00","20,00","31,00",40,44,"117,000"

Výsledky přijímacího řízení do prim osmiletého studia,,,,,,,,
"Gymnázium, Praha 5, Nad Kavalírkou 1",,,,,,,,
"18.4.2017, 20.4.2017",,,,,,,,
"Výsledky přijímacích zkoušek pro školní rok 2017/2018, které jsou zveřejněné na",,,,,,,,
"webových stránkách školy, korespondují s oficiálními výsledky ve vývěsce",,,,,,,,
"Gymnázia, Praha 5, Nad Kavalírkou 1.",,,,,,,,
P ř i j a t í u ch a z e č i,,,,,,,,
Zveřejněno 3.5.2017,,,,,,,,
Pořadí-,,,,,,,,
dle,,,,,,Body-,Body-,
,,Body-,Body-,Body-,Body-,český,matema-,Body-
kritérií,,ZŠ,všeob.,stud.,v+s,jazyk,tika,celkem
GNK,Kód,max 2,přehl.,předp.,max 48,max 50,max 50,max 150
39.,11649,"1,901","18,00","19,00","37,00",41,37,"116,901"
40.,13617,2,"14,00","22,00","36,00",36,42,"116,000"
41.,30591,2,"16,00","21,00","37,00",39,38,"116,000"
42.,67983,2,"10,00","20,00","30,00",38,46,"116,000"
43.,14355,2,"17,00","17,00","34,00",43,37,"116,000"
44.,41415,2,"11,00","20,00","31,00",39,43,"115,000"
44.,67491,2,"15,00","20,00","35,00",38,40,"115,000"
46.,13863,2,"12,00","19,00","31,00",41,41,"115,000"
47.,84219,2,"13,00","17,00","30,00",44,39,"115,000"
48.,48057,2,"16,00","21,00","37,00",36,39,"114,000"
49.,83973,2,"16,00","20,00","36,00",42,34,"114,000"
49.,80283,2,"14,00","20,00","34,00",37,41,"114,000"
51.,55929,2,"16,00","19,00","35,00",36,41,"114,000"
52.,43383,"1,901","13,00","20,00","33,00",39,40,"113,901"
53.,28377,"1,769","17,00","19,00","36,00",35,41,"113,769"
54.,38217,"1,432","16,00","20,00","36,00",38,38,"113,432"
55.,39201,2,"16,00","18,00","34,00",36,41,"113,000"
56.,85449,"1,901","15,00","19,00","34,00",35,42,"112,901"
57.,12141,"1,799","17,00","19,00","36,00",40,35,"112,799"

Výsledky přijímacího řízení do prim osmiletého studia,,,,,,,,
"Gymnázium, Praha 5, Nad Kavalírkou 1",,,,,,,,
"18.4.2017, 20.4.2017",,,,,,,,
"Výsledky přijímacích zkoušek pro školní rok 2017/2018, které jsou zveřejněné na",,,,,,,,
"webových stránkách školy, korespondují s oficiálními výsledky ve vývěsce",,,,,,,,
"Gymnázia, Praha 5, Nad Kavalírkou 1.",,,,,,,,
P ř i j a t í u ch a z e č i,,,,,,,,
Zveřejněno 3.5.2017,,,,,,,,
Pořadí-,,,,,,,,
dle,,,,,,Body-,Body-,
,,Body-,Body-,Body-,Body-,český,matema-,Body-
kritérií,,ZŠ,všeob.,stud.,v+s,jazyk,tika,celkem
GNK,Kód,max 2,přehl.,předp.,max 48,max 50,max 50,max 150
58.,87663,2,"12,00","21,00","33,00",35,42,"112,000"
59.,19521,2,"13,00","20,00","33,00",40,37,"112,000"
59.,15093,2,"17,00","20,00","37,00",39,34,"112,000"
59.,20751,2,"16,00","20,00","36,00",36,38,"112,000"
62.,40431,2,"18,00","19,00","37,00",37,36,"112,000"
63.,27639,2,"19,00","21,00","40,00",35,34,"111,000"
63.,64047,2,"11,00","21,00","32,00",39,38,"111,000"
65.,68475,2,"10,00","17,00","27,00",38,44,"111,000"
66.,68721,"1,799","14,00","19,00","33,00",37,39,"110,799"
67.,85941,2,"10,00","18,00","28,00",32,48,"110,000"
68.,82989,2,"15,00","15,00","30,00",38,40,"110,000"
69.,49533,"1,33","21,00","23,00","44,00",34,30,"109,330"
70.,85695,"1,33","14,00","18,00","32,00",33,43,"109,330"
71.,46581,2,"15,00","17,00","32,00",40,35,"109,000"
72.,14601,"1,67","15,00","18,00","33,00",35,39,"108,670"
73.,83235,"1,432","16,00","17,00","33,00",34,40,"108,432"
74.,58881,2,"13,00","20,00","33,00",32,41,"108,000"
75.,16569,2,"18,00","19,00","37,00",34,35,"108,000"
76.,77823,2,"13,00","17,00","30,00",38,38,"108,000"

Výsledky přijímacího řízení do prim osmiletého studia,,,,,,,,
,,"Gymnázium, Praha 5, Nad Kavalírkou 1",,,,,,
,,,"18.4.2017, 20.4.2017",,,,,
"Výsledky přijímacích zkoušek pro školní rok 2017/2018, které jsou zveřejněné na",,,,,,,,
"webových stránkách školy, korespondují s oficiálními výsledky ve vývěsce",,,,,,,,
,,"Gymnázia, Praha 5, Nad Kavalírkou 1.",,,,,,
,,P ř i j a t í u ch a z e č i,,,,,,
,,,Zveřejněno 3.5.2017,,,,,
"Pořadí-
dle
kritérií
GNK",Kód,"Body-
ZŠ
max 2","Body-
všeob.
přehl.","Body-
stud.
předp.","Body-
v+s
max 48","Body-
český
jazyk
max 50","Body-
matema-
tika
max 50","Body-
celkem
max 150"
77.,40185,2,"12,00","15,00","27,00",35,44,"108,000"
78.,36987,2,"15,00","14,00","29,00",36,41,"108,000"
79.,54453,2,"16,00","13,00","29,00",31,46,"108,000"
80.,53715,"1,901","11,00","20,00","31,00",41,34,"107,901"
81.,43629,"1,901","20,00","24,00","44,00",32,30,"107,901"
82.,55437,2,"12,00","18,00","30,00",35,40,"107,000"
83.,44613,"1,901","15,00","19,00","34,00",30,41,"106,901"
84.,26163,"1,901","13,00","21,00","34,00",30,41,"106,901"
85.,74625,"1,901","14,00","19,00","33,00",32,40,"106,901"
